session_id,timestamp,action,row,col,is_bomb,is_flagged,adjacent_bombs,snapshot,floodfill,step,was_correct_flag,total_flags_used,valid_move
3,11:46:41,flag,1,4,1,1,0,moves_snapshot/move_0001.npy,0,0,1,1,1
3,11:46:41,flag,5,5,1,1,0,moves_snapshot/move_0002.npy,0,1,1,2,1
3,11:46:42,reveal,0,4,0,0,1,moves_snapshot/move_0003.npy,0,2,0,2,0
3,11:46:42,flag,4,0,1,1,0,moves_snapshot/move_0004.npy,0,3,1,3,1
3,11:46:43,reveal,0,5,0,0,2,moves_snapshot/move_0005.npy,0,4,0,3,0
3,11:46:44,reveal,1,5,0,0,2,moves_snapshot/move_0006.npy,0,5,0,3,0
3,11:46:44,flag,5,0,1,1,0,moves_snapshot/move_0007.npy,0,6,1,4,1
3,11:46:44,reveal,1,6,0,0,1,moves_snapshot/move_0008.npy,0,7,0,4,0
3,11:46:44,flag,0,6,1,1,0,moves_snapshot/move_0009.npy,0,8,1,5,1
3,11:46:45,reveal,0,7,0,0,1,moves_snapshot/move_0010.npy,0,9,0,5,0
3,11:46:46,reveal,0,8,0,0,0,moves_snapshot/move_0011.npy,1,10,0,5,0
3,11:46:46,flag,3,7,1,1,0,moves_snapshot/move_0012.npy,0,11,1,6,1
3,11:46:47,reveal,3,8,0,0,1,moves_snapshot/move_0013.npy,0,12,0,6,0
3,11:46:47,flag,6,0,1,1,0,moves_snapshot/move_0014.npy,0,13,1,7,1
3,11:46:48,reveal,2,0,0,0,1,moves_snapshot/move_0015.npy,0,14,0,7,0
3,11:46:48,reveal,3,0,0,0,1,moves_snapshot/move_0016.npy,0,15,0,7,0
3,11:46:48,flag,1,0,1,1,0,moves_snapshot/move_0017.npy,0,16,1,8,1
3,11:46:49,reveal,0,0,0,0,1,moves_snapshot/move_0018.npy,0,17,0,8,0
3,11:46:50,reveal,4,7,0,0,1,moves_snapshot/move_0019.npy,0,18,0,8,0
3,11:46:51,reveal,4,8,0,0,1,moves_snapshot/move_0020.npy,0,19,0,8,0
3,11:46:52,reveal,5,6,0,0,1,moves_snapshot/move_0021.npy,0,20,0,8,0
3,11:46:52,reveal,5,7,0,0,0,moves_snapshot/move_0022.npy,1,21,0,8,0
3,11:46:52,flag,8,3,1,1,0,moves_snapshot/move_0023.npy,0,22,1,9,1
3,11:46:53,reveal,7,0,0,0,1,moves_snapshot/move_0024.npy,0,23,0,9,0
3,11:46:53,flag,8,8,1,1,0,moves_snapshot/move_0025.npy,0,24,1,10,1
3,11:46:54,reveal,8,0,0,0,0,moves_snapshot/move_0026.npy,1,25,0,10,0
3,11:46:57,reveal,3,6,0,0,0,moves_snapshot/move_0027.npy,1,26,0,10,0
