session_id,timestamp,action,row,col,is_bomb,is_flagged,adjacent_bombs,snapshot,floodfill,step,was_correct_flag,total_flags_used,valid_move
2,11:46:21,reveal,7,6,0,0,0,moves_snapshot/move_0001.npy,1,0,0,0,0
2,11:46:21,flag,3,2,1,1,0,moves_snapshot/move_0002.npy,0,1,1,1,1
2,11:46:22,flag,4,7,1,1,0,moves_snapshot/move_0003.npy,0,2,1,2,1
2,11:46:22,flag,3,3,1,1,0,moves_snapshot/move_0004.npy,0,3,1,3,1
2,11:46:23,flag,3,4,1,1,0,moves_snapshot/move_0005.npy,0,4,1,4,1
2,11:46:23,flag,7,3,1,1,0,moves_snapshot/move_0006.npy,0,5,1,5,1
2,11:46:24,reveal,2,7,0,0,0,moves_snapshot/move_0007.npy,1,6,0,5,0
2,11:46:24,flag,0,6,1,1,0,moves_snapshot/move_0008.npy,0,7,1,6,1
2,11:46:24,flag,0,5,1,1,0,moves_snapshot/move_0009.npy,0,8,1,7,1
2,11:46:25,reveal,0,3,0,0,1,moves_snapshot/move_0010.npy,0,9,0,7,0
2,11:46:25,flag,7,4,1,1,0,moves_snapshot/move_0011.npy,0,10,1,8,1
2,11:46:26,reveal,1,3,0,0,1,moves_snapshot/move_0012.npy,0,11,0,8,0
2,11:46:27,reveal,1,4,0,0,1,moves_snapshot/move_0013.npy,0,12,0,8,0
2,11:46:28,reveal,2,3,0,0,4,moves_snapshot/move_0014.npy,0,13,0,8,0
2,11:46:28,reveal,2,4,0,0,2,moves_snapshot/move_0015.npy,0,14,0,8,0
2,11:46:29,reveal,4,8,0,0,1,moves_snapshot/move_0016.npy,0,15,0,8,0
2,11:46:30,reveal,7,2,0,0,1,moves_snapshot/move_0017.npy,0,16,0,8,0
2,11:46:31,reveal,5,1,0,0,1,moves_snapshot/move_0018.npy,0,17,0,8,0
2,11:46:32,reveal,6,1,0,0,0,moves_snapshot/move_0019.npy,1,18,0,8,0
2,11:46:32,flag,4,1,1,1,0,moves_snapshot/move_0020.npy,0,19,1,9,1
2,11:46:32,reveal,3,1,0,0,2,moves_snapshot/move_0021.npy,0,20,0,9,0
2,11:46:33,reveal,2,0,0,0,0,moves_snapshot/move_0022.npy,1,21,0,9,0
2,11:46:34,reveal,4,0,0,0,1,moves_snapshot/move_0023.npy,0,22,0,9,0
2,11:46:35,reveal,2,2,0,0,3,moves_snapshot/move_0024.npy,0,23,0,9,0
2,11:46:36,flag,1,2,1,1,0,moves_snapshot/move_0025.npy,0,24,1,10,1
2,11:46:36,reveal,0,2,0,0,1,moves_snapshot/move_0026.npy,0,25,0,10,0
2,11:46:37,reveal,8,3,0,0,2,moves_snapshot/move_0027.npy,0,26,0,10,0
2,11:46:38,reveal,8,4,0,0,2,moves_snapshot/move_0028.npy,0,27,0,10,0
2,11:46:41,reveal,0,2,0,0,0,moves_snapshot/move_0029.npy,1,28,0,10,0
